Title,URL,Advertiser,Location,Listing Date,Short Description
Senior Mobile Application Developer,https://www.seek.com.au/jobs/job/36495947?type=standout,Modis,Brisbane,6d ago,Expertise in developing mobile apps using a variety of programming languages and using their relevant Integrated Development Environments.
Java Developer,https://www.seek.com.au/jobs/job/36495929?type=standard,Finite IT Recruitment Solutions,Brisbane,6d ago,We need a Senior JAVA Developer for an initial 6 month contract in Brisbane CBD. 
Senior .NET Web & Application Developer,https://www.seek.com.au/jobs/job/36485458?type=standard,VICTORION IT SOLUTIONS,Brisbane,8d ago,Brisbane based application development company looking for a Senior .NET developer to add into our highly motivated and growing development team.
Devops Engineer | Software Developer,https://www.seek.com.au/jobs/job/36484499?type=standard,PRA,Brisbane,9d ago,"Seeking a Developer with experience in Devops, or who has a passion to transition into this space, to join an exciting growing organisation!"
Java Developer- Permanent,https://www.seek.com.au/jobs/job/36481681?type=standard,Davidson Technology,Brisbane,9d ago,"Application development, maintaining existing systems, unit testing, release management, design and building databases &amp; identifying system issues. "
Front End Developer,https://www.seek.com.au/jobs/job/36479416?type=standard,Interpro - QLD,Brisbane,9d ago,Aussie Market Leader - Greenfield Software Development - Great Team Environment - Professional Development and Career Progression Opportunities
Full Stack .Net Developer,https://www.seek.com.au/jobs/job/36479305?type=standard,Exclaim IT,Brisbane,9d ago,Full Stack .Net Developer | Agile Scrum environment | Experience with Visual Studio; ASP.NET MVC; WCF; Web API; Windows Services | Based at Eagle Farm
Junior Front End Developer | React.JS,https://www.seek.com.au/jobs/job/36475992?type=standard,Just Digital People,Brisbane,9d ago,Are you a Front End Developer looking to get your foot in the door with an awesome team of developers? Apply here!
.Net Developer,https://www.seek.com.au/jobs/job/36473777?type=standard,MPower MSL,Brisbane,9d ago,"Keen to expand your programming career with a global software provider in the sports, hospitality and leisure industry? Apply now."
Graduate Support Developer,https://www.seek.com.au/jobs/job/36473757?type=standard,MPower MSL,Brisbane,9d ago,"Keen to start your programming career with a global software provider in the sports, hospitality and leisure industry?"
.Net Developer - Permanent,https://www.seek.com.au/jobs/job/36472086?type=standard,Davidson Technology,Brisbane,10d ago,.Net Developer.Permanent role| Brisbane CBD| Join a global leader with lots of career progression opportunities.
Drupal Developer,https://www.seek.com.au/jobs/job/36470769?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Brisbane,10d ago," Drupal Developer - Brisbane  As a member of one of Brisbane's most evolutionary development teams, you will integrate yourself with technologists who"
Java Web UI Developer,https://www.seek.com.au/jobs/job/36469305?type=standout,Peoplebank Australia QLD,Brisbane,10d ago,Java Web UI Developer required for a fixed term salaried role in Brisbane CBD
Mid-Level Drupal Developer (Brisbane Location),https://www.seek.com.au/jobs/job/36469030?type=standout,Paxus Australia Pty Ltd,Brisbane,10d ago,Looking for a smart and motivated Mid-level Drupal Developer to join an excellent and reputable organization in Brisbane’s CBD fringe.
Mid-Level Drupal Developer (Brisbane Location),https://www.seek.com.au/jobs/job/36469019?type=standout,Paxus Australia Pty Ltd,Brisbane,10d ago,Looking for a smart and motivated Mid-level Drupal Developer to join an excellent and reputable organization in Brisbane’s CBD fringe.
PHP Developer | Multiple opportunities!!,https://www.seek.com.au/jobs/job/36465843?type=standard,Robert Half Technology,Brisbane,10d ago,"Join an industry leading organisation, this is a brand new opportunities to get a front intro into their team!"
