Title,URL,Advertiser,Location,Listing Date,Short Description
MId to SNR Magento Developer,https://www.seek.com.au/jobs/job/36484252?type=standard,Opus Recruitment Solutions,Sydney,9d ago,MID TO SNR Magento DEVELOPER | JOIN A MARKET LEADING DIGITAL AGENCY | 6 MONTH CONTRACT WITH POTENTIAL EXTENSION | LUCRATIVE DAY RATE
Javascript Developer - 12 month contract,https://www.seek.com.au/jobs/job/36481890?type=standout,Motion Recruitment,Sydney,9d ago,React/Redux/node - Agile Team - cross-functional team building innovative product at the forefront of technology
Junior Developer-3 Month Contract,https://www.seek.com.au/jobs/job/36477120?type=standout,Divy Associates Pty Ltd,Sydney,9d ago,An opportunity has arisen to represent the Divy Brand with one of our great clients for a Junior Developer!
Front-End Developer,https://www.seek.com.au/jobs/job/36458391?type=standard,Miller Gold Search & Select,Sydney,10d ago,An amazing opportunity to join a growing &amp; successful Australian business changing lives for the better! Be the front-end spearhead!
Full-Stack Developer,https://www.seek.com.au/jobs/job/36468774?type=standout,finder.com.au,Sydney,10d ago,"HiveEx is building the future of cryptocurrency and financial comparison, and requires a talented Full-Stack Developer to help launch it."
Data Specialist,https://www.seek.com.au/jobs/job/36463099?type=standout,QBE,Sydney,11d ago,"The Data Specialist is responsible for the identification, sourcing, cleansing and manipulation of data ."
PHP/WordPress Developer - Exciting new projects!,https://www.seek.com.au/jobs/job/36462531?type=standout,2XM Technology Pty Ltd,Sydney,11d ago,"A fantastic opportunity to work in a team of 5 with yearly, upskilling budget, learn develop and thrive!"
Machine Learning Engineer - Computer Vision - Permanent Opportunity - Sydney CBD,https://www.seek.com.au/jobs/job/36461655?type=standard,Infopeople,Sydney,11d ago,Highly intellectual and collaborative team - Computer Vision &amp; Image Processing experience - Strong Python skills - Sydney CBD Based - Competitive Pay
Linux DevOps Engineer,https://www.seek.com.au/jobs/job/36461622?type=standout,MNF Group Limited,Sydney,11d ago,We are currently looking to appoint a Linux DevOps Engineer to join our head office in Sydney CBD
Java Developer - contract,https://www.seek.com.au/jobs/job/36460890?type=standard,Preacta Recruitment,Sydney,11d ago,Leading media company looking for an experienced Java Developer to join a team of 12 focusing on the development of enterprise level applications
Software Engineers -Chance to join the DevOps Buzz,https://www.seek.com.au/jobs/job/36460622?type=standard,FRG Technology Consulting,Sydney,11d ago,"Become a part of something interesting and meaningful! If you want to take control of your future and work in a fast-paced, dynamic role in which you "
Mid Java Full Stack Developer - CBD,https://www.seek.com.au/jobs/job/36460390?type=standout,Xpand Group Pty Ltd,Sydney,11d ago,Looking for a mid level developer to work within a Cyber Security Tech company. Learn from the best developers in Aus!
Senior React/Node JavaScript Developer,https://www.seek.com.au/jobs/job/36457690?type=standout,Lookahead Search,Sydney,11d ago,"Sydney | Internationally used product, work with talented peers in a growing start-up, using JavaScript at scale. Flexible &amp; work from home options."
Ruby on Rails / JavaScript Developer,https://www.seek.com.au/jobs/job/36457448?type=standout,Lookahead Search,Sydney,11d ago,"Sydney | Flexible hours with work from home options. Tech startup, working with smart, motivated colleagues. Attractive salary and CBD location."
Citrix Infrastructure Engineer - Sydney,https://www.seek.com.au/jobs/job/36452041?type=standard,Balance Recruitment,Sydney,12d ago,"Well respected financial company (CBD) needs an  infrastructure engineer skilled in Citrix, Cloud (Azure), and VMWare. Must have great comm skills."
Mid Java Full Stack Developer - CBD,https://www.seek.com.au/jobs/job/36451816?type=standout,Xpand Group Pty Ltd,Sydney,12d ago,Looking for a mid level developer to work within a Cyber Security Tech company. Learn from the best developers in Aus!
Junior Technologist for Automation Testing and Engineering,https://www.seek.com.au/jobs/job/36450788?type=standard,Xpand Group Pty Ltd,Sydney,12d ago,Junior Technologist for Automation Testing and Engineering
Senior Front End Engineer,https://www.seek.com.au/jobs/job/36448892?type=standout,Lookahead Search,Sydney,12d ago,Sydney | Join a growing engineering team and build products that get used by people all around Australia.
React Developer,https://www.seek.com.au/jobs/job/36446849?type=standard,Preacta Recruitment,Sydney,12d ago,ASX listed tech focused SME looking for a talented JavaScript specialist who can create awesome Reactjs artefacts
Web Developer,https://www.seek.com.au/jobs/job/36445429?type=standard,Finite IT Recruitment Solutions,Sydney,12d ago,Great 6 month contract in Sydney central! Apply now!
Senior .Net Developer,https://www.seek.com.au/jobs/job/36444642?type=standout,Precision Sourcing,Sydney,12d ago,Join this Australian financial institution in Sydney CBD as a Senior .Net developer. Work on an enterprise web application.
Senior Front End Developer - ASX Listed Company - Learn ReactJS,https://www.seek.com.au/jobs/job/36436093?type=standard,TheDriveGroup,Sydney,15d ago,Join a very successful and well established company &amp; help lead the Front End Development on a multiple new projects. Great opportunity to learn React
Senior Ruby on Rails Engineer,https://www.seek.com.au/jobs/job/36433683?type=standout,SALT SEARCH PTY LTD,Sydney,16d ago,Join one of the most successful Australian startups in the Data space and build an enterprise product used by some of the biggest brands in the world.
Automation Test Architect - Performance Engineer - Banking client,https://www.seek.com.au/jobs/job/36432028?type=standard,Bridge Associates APAC Pty Ltd,Sydney,16d ago,Performance Testing - Automation Framework - Testing Strategies - TDD - BDD - Agile
1x Javascript Engineer (React/Redux/Node) & 1x Golang Engineer | Fintech | CBD,https://www.seek.com.au/jobs/job/36431814?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs",16d ago,Join the most innovative tech team in Sydney right now! GREENFIELD projects! Complex &amp; interesting work! Finance Industry! Top $$$ on offer + equity!
Mid Java Full Stack Developer - CBD,https://www.seek.com.au/jobs/job/36422344?type=standout,Xpand Group Pty Ltd,Sydney,17d ago,Looking for a mid level developer to work within a Cyber Security Tech company. Learn from the best developers in Aus!
