Title,URL,Advertiser,Location
Automotive Technician / Motor Mechanic,https://www.seek.com.au/job/36494968?type=standout,Garry Crick Autogroup,Sunshine Coast
Apprentice Diesel Mechanic - Derrimut,https://www.seek.com.au/job/36489840?type=standard,J.J. Richards & Sons Pty Ltd,Melbourne
Light Vehicle Mechanic,https://www.seek.com.au/job/36489525?type=standout,WODONGA POWER STEERING CENTRE PTY LIMITE,Yarra Valley & High Country
Automotive Technician/Mechanic,https://www.seek.com.au/job/36496958?type=standout,Automotive Holdings Group,Perth
Small Engine Mechanic,https://www.seek.com.au/job/36494209?type=standard,Dandenong Mowerpower,Melbourne
Apprentice Diesel Mechanic  Larapinta QLD,https://www.seek.com.au/job/36492391?type=standout,JCB Construction Equipment Australia,Brisbane
Heavy Vehicle Mechanic / Fleet Organiser,https://www.seek.com.au/job/36488941?type=standout,Environmental Location Systems,Melbourne
APPRENTICE HEAVY VEHICLE DIESEL MECHANIC,https://www.seek.com.au/job/36488727?type=standard,Brisbane,Southern Suburbs & Logan
HEAVY VEHICLE DIESEL MECHANIC,https://www.seek.com.au/job/36488706?type=standard,Brisbane,Trades & Services
25 x CAT Experienced Diesel Fitters / Mobile Plant Diesel Mechanic,https://www.seek.com.au/job/36492900?type=standout,Premium Mechanical Group,Adelaide
Motor Mechanic/ Technician,https://www.seek.com.au/job/36306994?type=promoted,Cox Automotive Repairs Pty Ltd,Melbourne
QUALIFIED MOTOR MECHANIC,https://www.seek.com.au/job/36490049?type=promoted,Penrith City Automotive P/L,Sydney
Fulltime. All round - Diesel Mechanic,https://www.seek.com.au/job/36488642?type=standard,Access Boring Pty Ltd,Melbourne
25 x CAT - OEM Experienced Plant Mechanics / Mobile Plant Diesel Mechanic,https://www.seek.com.au/job/36492815?type=standout,Premium Mechanical Group,Perth
Titan Plant Hire - Heavy Diesel Mechanic,https://www.seek.com.au/job/36488481?type=standard,Darwin,Trades & Services
Refrigeration Mechanic,https://www.seek.com.au/job/36488341?type=standout,Refelec Qld Pty Ltd,Gladstone & Central QLD
Trailer Mechanic (Diesel Fitter),https://www.seek.com.au/job/36488340?type=standard,HOBAN Recruitment,Brisbane
Trailer Mechanic (Diesel Fitter),https://www.seek.com.au/job/36488337?type=standard,HOBAN Recruitment,Brisbane
Trailer Mechanic (Diesel Fitter),https://www.seek.com.au/job/36488336?type=standard,HOBAN Recruitment,Brisbane
Mechanic - Workshop,https://www.seek.com.au/job/36494513?type=standout,Coates Hire Operations,"Wollongong, Illawarra & South Coast"
Diesel Mechanic / Fitter,https://www.seek.com.au/job/36488290?type=standard,Australian Construction Equipment Sales,Melbourne
HD Truck Mechanic,https://www.seek.com.au/job/36492760?type=standard,EMT services,Perth
TRADE QUALIFIED DIESEL MOTOR MECHANIC,https://www.seek.com.au/job/36488099?type=standard,Barro Group,Hervey Bay & Fraser Coast
Motor Mechanic,https://www.seek.com.au/job/36488074?type=standard,South West Coast VIC,Trades & Services
FITTER / ASSEMBLER / MECHANIC,https://www.seek.com.au/job/36491664?type=standard,K.H. Equipment Pty Ltd,Melbourne
Field Service Technician - Plant/Heavy Vehicle Mechanic,https://www.seek.com.au/job/36498350?type=standout,Slade Group,Sydney
Field Service Technician - Plant/Heavy Vehicle Mechanic,https://www.seek.com.au/job/36498348?type=standout,Slade Group,Melbourne
Fitter / Mechanic,https://www.seek.com.au/job/36493570?type=standard,Reilly Contractors,Perth
Mechanic,https://www.seek.com.au/job/36493214?type=standard,AWD Group,Sydney
Service Technician/Mechanic,https://www.seek.com.au/job/36137986?type=standard,Access Group Australia PTY LTD,Perth
3rd or 4th Year Automotive Apprentice Mechanic - North Narrabeen,https://www.seek.com.au/job/36489945?type=standout,Kmart Tyre & Auto Service,Sydney
Heavy Vehicle Mechanic,https://www.seek.com.au/job/36492292?type=standard,Manpower,"Newcastle, Maitland & Hunter"
Mechanic - Roadside Responder,https://www.seek.com.au/job/36472646?type=promoted,NRMA Motoring & Services,Sydney
Vehicle Technician/Mechanic,https://www.seek.com.au/job/36355567?type=promoted,Sunbury Ford,Melbourne
Qualified Motor Mechanic/Technician,https://www.seek.com.au/job/36488726?type=standard,EUROPEAN CAR CENTRE,"Newcastle, Maitland & Hunter"
Heavy Vehicle Mechanic,https://www.seek.com.au/job/36491638?type=standard,Linfox Australia,Perth
Motor Mechanic/Automotive Technician,https://www.seek.com.au/job/36489623?type=standout,Eastern Suburbs Autocare,Sydney
Trailer Mechanic | Welder | Boilermaker - Immediate Start,https://www.seek.com.au/job/36488298?type=standard,HOBAN Recruitment,Brisbane
Trailer Mechanic | Welder | Boilermaker - Immediate Start,https://www.seek.com.au/job/36488297?type=standard,HOBAN Recruitment,Brisbane
Heavy Vehicle Mechanic (Afternoon Shift),https://www.seek.com.au/job/36490251?type=standard,TRN Group,Sydney
Apprentice Mechanic,https://www.seek.com.au/job/36490218?type=standard,Zerella Holdings,Riverland & Murray Mallee
QUALIFIED MOTOR MECHANIC,https://www.seek.com.au/job/36490049?type=standout,Penrith City Automotive P/L,Sydney
Automotive Mechanic Apprenticeship,https://www.seek.com.au/job/36490022?type=standout,Noble Automotive,Sydney
Diesel Mechanic - Derrimut,https://www.seek.com.au/job/36489879?type=standard,J.J. Richards & Sons Pty Ltd,Melbourne
Field Service Technician- Mechanic,https://www.seek.com.au/job/36489785?type=standard,MLA Holdings Pty Ltd,Perth
Toyota Apprentice Mechanic,https://www.seek.com.au/job/36268367?type=standout,Noble Automotive,Sydney
Qualified Heavy Vehicle Mechanic,https://www.seek.com.au/job/36489017?type=standout,Core Talent PTY LTD,Sydney
Field Service Technician - Plant/Heavy Vehicle Mechanic,https://www.seek.com.au/job/36495141?type=standout,Slade Group,Sydney
Leading Hand Mechanic - Wagga Wagga,https://www.seek.com.au/job/36487793?type=standard,Wagga Wagga & Riverina,Trades & Services
Mechanic / Automotive Technician - Eastern Suburbs,https://www.seek.com.au/job/36487792?type=standout,Kmart Tyre & Auto Service,Melbourne
MOTOR MECHANIC,https://www.seek.com.au/job/36488422?type=standard,Melbourne,Western Suburbs
Qualified Truck Mechanic,https://www.seek.com.au/job/36488451?type=standard,Northern QLD,Trades & Services
Heavy Vehicle Diesel Mechanic,https://www.seek.com.au/job/36488346?type=standard,Speciality Services QLD Pty Ltd,Toowoomba & Darling Downs
Motor Mechanic,https://www.seek.com.au/job/36492476?type=standout,Woolgoolga Service Centre ( BP ),Coffs Harbour & North Coast
Automotive Mechanic,https://www.seek.com.au/job/36356183?type=promoted,TGM Automotive,Sydney
Heavy Vehicle Workshop Mechanic,https://www.seek.com.au/job/36319166?type=promoted,Select Quarry Materials Pty Ltd,Sydney
Diesel Mechanic,https://www.seek.com.au/job/36492035?type=standout,Gosford & Central Coast,Trades & Services
Motor Mechanic (General) & Diesel Mechanic,https://www.seek.com.au/job/36487868?type=standard,PROAUTO SERVICES PTY LTD,Sydney
HD Mechanic,https://www.seek.com.au/job/36490992?type=standout,Force Equipment Service & Hire,"Port Hedland, Karratha & Pilbara"
Mechanic (Field Service) - Forestry & Construction,https://www.seek.com.au/job/36487215?type=standard,Boote Mechanical,West Gippsland & Latrobe Valley
Brian Turner's Automotive - Mechanic Required,https://www.seek.com.au/job/36486987?type=standard,Darwin,Trades & Services
Commercial Refrigeration Mechanic,https://www.seek.com.au/job/36487256?type=standard,Colder Refrigeration,Gosford & Central Coast
Heavy Vehicle Mechanic/Technician,https://www.seek.com.au/job/36487827?type=standard,Daimler Trucks Laverton,Melbourne
Mechanic - Full Time,https://www.seek.com.au/job/36487760?type=standard,Gold Coast,Trades & Services
Apprentice Heavy Vehicle Technician/Mechanic,https://www.seek.com.au/job/36487836?type=standard,Daimler Trucks Laverton,Melbourne
Diesel Mechanic,https://www.seek.com.au/job/36486817?type=standard,WorkforceXS Ballarat,Ballarat & Central Highlands
Delivery Driver / Mechanic Assistant at Pedders Suspension,https://www.seek.com.au/job/36487628?type=standard,Pedders Suspension,Melbourne
Diesel or motor mechanic / diesel fuel technician,https://www.seek.com.au/job/36269289?type=standout,Ag diesel,Melbourne
Marine Mechanic,https://www.seek.com.au/job/36486777?type=standout,PMK Marine Pty Ltd,Brisbane
Heavy Duty Mechanic,https://www.seek.com.au/job/36486686?type=standout,ABS Kewdale,Perth
Heavy Diesel Mechanic,https://www.seek.com.au/job/36486284?type=standard,Victorian Mechanical Services,Melbourne
Heavy Vehicle Mechanic  ( Huntingwood),https://www.seek.com.au/job/36486222?type=standard,Just Automotive Recruitment,Sydney
Mechanic (heavy or light vehicle) Arncliffe area,https://www.seek.com.au/job/36486221?type=standard,Just Automotive Recruitment,Sydney
Heavy Vehicle Mechanic (day & night shift) Bankstown,https://www.seek.com.au/job/36486220?type=standard,Just Automotive Recruitment,Sydney
MOBILE PLANT SHUT DOWN TEAM / Heavy Diesel Mechanic / Diesel Fitter / HD Fitters,https://www.seek.com.au/job/36323204?type=standout,Premium Mechanical Group,"Kalgoorlie, Goldfields & Esperance"
4WD Accessory Fitter / Technician / Mechanic,https://www.seek.com.au/job/36487048?type=standout,Brisbane,CBD & Inner Suburbs
Plant Fitter / Mechanic,https://www.seek.com.au/job/36447753?type=promoted,C & L Sales & Services P/L,Sydney
Automotive Mechanic / Technician,https://www.seek.com.au/job/36342129?type=promoted,Sydney,North Shore & Northern Beaches
Heavy Vehicle Mechanic,https://www.seek.com.au/job/36485640?type=standout,TRS,Sydney
Field Service Technician - Plant/Heavy Vehicle Mechanic,https://www.seek.com.au/job/36487724?type=standout,Slade Group,Melbourne
Field Service Technician - Plant/Heavy Vehicle Mechanic,https://www.seek.com.au/job/36487723?type=standout,Slade Group,Sydney
Forklift Mechanic,https://www.seek.com.au/job/36485549?type=standout,FLB Automotive Recruitment Pty Ltd,Sydney
Senior Air Conditioning/Refrigeration Mechanic,https://www.seek.com.au/job/36485534?type=standout,TVH,"Wollongong, Illawarra & South Coast"
Diesel Mechanics - APY Lands and Olympic Dam,https://www.seek.com.au/job/36494764?type=standard,Toll People - Adelaide,Adelaide
Mechanic 4WD Light Vehicle,https://www.seek.com.au/job/36485292?type=standout,Super Motor Spares,Perth
Qualified Diesel Mechanic (Agricultural),https://www.seek.com.au/job/36485248?type=standard,The Wanneroo Agricultural Machinery Unit  Trust,Perth
Light Vehicle Mechanic,https://www.seek.com.au/job/36485159?type=standard,Kelly Services,Sydney
Diesel Mechanic | Diesel Fitter,https://www.seek.com.au/job/36485151?type=standard,Kelly Services,Sydney
Truck and Trailer Mechanic,https://www.seek.com.au/job/36485132?type=standout,SDJ Logistics Pty Ltd,Perth
junior mechanic trade assistant,https://www.seek.com.au/job/36487588?type=standard,ultra car care sa,Adelaide
Mechanic / Hydraulic,https://www.seek.com.au/job/36388308?type=standout,"Aushose, Hydraulink Canberra",ACT
